year,rank,track_name,artist_name,danceability,acousticness,energy,tempo,duration_ms
1980,1,Call Me,Blondie,0.554,0.000646,0.833,142.673,212227
1980,2,Another Brick in the Wall Part II,Pink Floyd,0.693,0.0782,0.394,104.114,238747
1980,3,Magic,Olivia Newton-John,0.7,0.123,0.504,103.88,269307
1980,4,Rock with You,Michael Jackson,0.808,0.179,0.535,114.031,220627
1980,5,Do That to Me One More Time,Captain & Tennille,0.599,0.714,0.762,76.961,163373
1980,6,Crazy Little Thing Called Love,Queen,0.599,0.714,0.762,76.961,163373
1980,7,Coming Up,Paul McCartney,,,,,
1980,8,Funkytown,Lipps Inc.,,,,,
1980,9,It's Still Rock and Roll to Me,Billy Joel,0.752,0.0994,0.684,141.075,176440
1980,10,The Rose,Bette Midler,0.258,0.94,0.0971,65.346,215027
1981,1,Bette Davis Eyes,Kim Carnes,0.675,0.0204,0.649,116.624,228000
1981,2,Endless Love,"Diana Ross & Lionel Richie",0.456,0.665,0.332,93.633,266267
1981,3,Lady,Kenny Rogers,0.488,0.747,0.232,140.173,231040
1981,4,(Just Like) Starting Over,John Lennon,0.701,0.301,0.79,99.104,236547
1981,5,Jessie's Girl,Rick Springfield,0.727,0.164,0.832,131.703,194120
1981,6,Celebration,Kool & the Gang,0.885,0.146,0.664,121.633,298867
1981,7,Kiss on My List,Daryl Hall & John Oates,0.815,0.434,0.741,121.221,264987
1981,8,I Love a Rainy Night,Eddie Rabbitt,0.689,0.0978,0.742,131.474,189320
1981,9,9 To 5,Dolly Parton,0.554,0.416,0.783,105.39,162467
1981,10,Keep on Loving You,REO Speedwagon,0.306,0.0519,0.722,174.732,200293
1982,1,Physical,Olivia Newton-John,0.834,0.0631,0.633,123.815,224773
1982,2,Eye of the Tiger,Survivor,0.817,0.132,0.599,108.873,245640
1982,3,I Love Rock 'n Roll,Joan Jett & The Blackhearts,0.535,0.326,0.716,94.379,175173
1982,4,Ebony and Ivory,Paul McCartney and Stevie Wonder,0.567,0.0784,0.692,160.697,226267
1982,5,Centerfold,The J. Geils Band,0.653,0.249,0.677,114.37,216533
1982,6,Don't You Want Me,The Human League,0.731,0.184,0.738,117.656,236920
1982,7,Jack & Diane,John Cougar,0.811,0.0365,0.41,103.94,254493
1982,8,Hurts So Good,John Cougar,,,,,
1982,9,Abracadabra,Steve Miller Band,,,,,
1982,10,Hard to Say I'm Sorry,Chicago,0.398,0.056,0.57,140.974,304213
1983,1,Every Breath You Take,The Police,0.82,0.543,0.452,117.401,253920
1983,2,Billie Jean,Michael Jackson,0.932,0.0173,0.457,117.002,294227
1983,3,Flashdance... What a Feeling,Irene Cara,0.572,0.00579,0.655,122.49,237053
1983,4,Down Under,Men at Work,0.739,0.129,0.459,107.115,222320
1983,5,Beat It,Michael Jackson,0.776,0.0242,0.711,138.728,258400
1983,6,Total Eclipse of the Heart,Bonnie Tyler,0.435,0.195,0.658,130.276,269787
1983,7,Maneater,Daryl Hall & John Oates,0.687,0.0234,0.697,88.714,270733
1983,8,Baby Come to Me,Patti Austin and James Ingram,,,,,
1983,9,Maniac,Michael Sembello,0.617,0.0891,0.533,158.86,244707
1983,10,Sweet Dreams (Are Made of This),Eurythmics,0.692,0.225,0.711,125.135,216933
1984,1,When Doves Cry,Prince,0.729,0.0102,0.989,126.47,352906
1984,2,What's Love Got to Do with It,Tina Turner,0.75,0.275,0.664,105.023,208156
1984,3,Say Say Say,Paul McCartney and Michael Jackson,,,,,
1984,4,Footloose,Kenny Loggins,0.546,0.0819,0.895,174.089,220707
1984,5,Against All Odds (Take a Look at Me Now),Phil Collins,0.581,0.198,0.498,116.262,206360
1984,6,Jump,Van Halen,0.572,0.171,0.835,129.994,241600
1984,7,Hello,Lionel Richie,0.487,0.414,0.246,61.084,251107
1984,8,Owner of a Lonely Heart,Yes,0.744,0.175,0.798,125.061,268507
1984,9,Ghostbusters,Ray Parker Jr.,0.782,0.0307,0.567,115.71,245973
1984,10,Karma Chameleon,Culture Club,0.668,0.225,0.73,92.049,252773
1985,1,Careless Whisper,Wham!,,,,,
1985,2,Like a Virgin,Madonna,0.773,0.202,0.656,119.754,218627
1985,3,Wake Me Up Before You Go-Go,Wham!,0.62,0.271,0.573,81.548,231333
1985,4,I Want to Know What Love Is,Foreigner,0.477,0.193,0.471,81.204,304787
1985,5,I Feel for You,Chaka Khan,0.698,0.0145,0.912,124.916,343400
1985,6,Out of Touch,Daryl Hall & John Oates,0.806,0.0391,0.649,114.834,249573
1985,7,Everybody Wants to Rule the World,Tears for Fears,0.645,0.347,0.795,112.067,251489
1985,8,Money for Nothing,Dire Straits,0.667,0.0491,0.655,134.212,506400
1985,9,Crazy for You,Madonna,0.704,0.422,0.288,118.013,184867
1985,10,Take On Me,a-ha,0.573,0.018,0.902,84.412,225280
1986,1,That's What Friends Are For,"Dionne and Friends (Dionne Warwick,Gladys Knight,Elton John and Stevie Wonder)",0.673,0.294,0.286,120.117,256467
1986,2,Say You Say Me,Lionel Richie,0.636,0.355,0.405,128.068,241067
1986,3,I Miss You,Klymaxx,0.655,0.00103,0.781,110.024,227240
1986,4,On My Own,Patti LaBelle and Michael McDonald,,,,,
1986,5,Broken Wings,Mr. Mister,0.286,0.134,0.5,99.162,343933
1986,6,How Will I Know,Whitney Houston,0.832,0.201,0.544,119.49,275533
1986,7,Party All the Time,Eddie Murphy,0.699,0.0098,0.696,135.027,253293
